Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
WEB C en 103 107,14/02/2022,08:30 AM,,10:00 AM,FALSE,103 107,
PA Gestion de projet en 305 308,14/02/2022,01:30 PM,,03:00 PM,FALSE,305 308,
ANGLAIS TD2 en 308,14/02/2022,03:15 PM,,04:45 PM,FALSE,308,
LANGUE 2 (S2) TD en 103 107 110 112 303 304 305 306 307 308,15/02/2022,10:30 AM,,12:00 PM,FALSE,103 107 110 112 303 304 305 306 307 308,
ANGLAIS TD2 en 306,15/02/2022,01:30 PM,,03:00 PM,FALSE,306,
SHELL TP en 206 207,15/02/2022,03:15 PM,,04:45 PM,FALSE,206 207,
SHELL TP en 206 207,15/02/2022,05:00 PM,,06:30 PM,FALSE,206 207,
PA Droit en 307 308,16/02/2022,08:30 AM,,10:00 AM,FALSE,307 308,
SHELL EI G5A en 206,16/02/2022,03:15 PM,,04:45 PM,FALSE,206,
SHELL EI G5B en 206,16/02/2022,05:00 PM,,06:30 PM,FALSE,206,
PA DS en 101,17/02/2022,08:30 AM,,10:00 AM,FALSE,101,
RESEAUX TP en 202,17/02/2022,01:30 PM,,03:00 PM,FALSE,202,
Réunion délégués en Teams,17/02/2022,05:00 PM,,06:30 PM,FALSE,Teams,
RESEAUX LS en 107,18/02/2022,08:30 AM,,10:00 AM,FALSE,107,
WEB TP en 110 112,18/02/2022,01:30 PM,,03:00 PM,FALSE,110 112,
WEB TP en 110 112,18/02/2022,03:15 PM,,04:45 PM,FALSE,110 112,
RESEAUX TP en 202,28/02/2022,08:30 AM,,10:00 AM,FALSE,202,
ANGLAIS TD2 en 110,01/03/2022,08:30 AM,,10:00 AM,FALSE,110,
LANGUE 2 (S2) TD en 103 107 110 112 303 304 305 306 307 308,01/03/2022,10:30 AM,,12:00 PM,FALSE,103 107 110 112 303 304 305 306 307 308,
WEB C en 110 112,01/03/2022,03:15 PM,,04:45 PM,FALSE,110 112,
RESEAUX TP en 202,01/03/2022,05:00 PM,,06:30 PM,FALSE,202,
PA Soutenance en 303,02/03/2022,08:30 AM,,10:00 AM,FALSE,303,
PA Soutenance en 303,02/03/2022,10:30 AM,,12:00 PM,FALSE,303,
PA Soutenance en 303,02/03/2022,01:30 PM,,03:00 PM,FALSE,303,
PA Soutenance en 303,02/03/2022,03:15 PM,,04:45 PM,FALSE,303,
WEB Suivi en 305 306,02/03/2022,05:00 PM,,06:30 PM,FALSE,305 306,
Dév IoT C en 206,03/03/2022,08:30 AM,,10:00 AM,FALSE,206,
Dév IoT C en 206,03/03/2022,10:30 AM,,12:00 PM,FALSE,206,
RESEAUX LS en 107,03/03/2022,03:15 PM,,04:45 PM,FALSE,107,
WEB Suivi en 305 306,03/03/2022,05:00 PM,,06:30 PM,FALSE,305 306,
ANA NUM TP2 en 309,04/03/2022,08:30 AM,,10:00 AM,FALSE,309,
ANA NUM TP2 en 309,04/03/2022,10:30 AM,,12:00 PM,FALSE,309,
BDE en 0,04/03/2022,01:30 PM,,03:00 PM,FALSE,0,
BDE en 0,04/03/2022,03:15 PM,,04:45 PM,FALSE,0,
Infos mission en Teams/109,07/03/2022,,,,FALSE,Teams/109,
ANGLAIS TD2 en 307,08/03/2022,08:30 AM,,10:00 AM,FALSE,307,
LANGUE 2 (S2) TD en 013 103 110 112 303 304 305 306 307 308,08/03/2022,10:30 AM,,12:00 PM,FALSE,013 103 110 112 303 304 305 306 307 308,
WEB Suivi en 306 307,08/03/2022,03:15 PM,,04:45 PM,FALSE,306 307,
WEB Suivi en 206 207,08/03/2022,05:00 PM,,06:30 PM,FALSE,206 207,
RESEAUX LS en 308,09/03/2022,08:30 AM,,10:00 AM,FALSE,308,
RESEAUX TP en 202,09/03/2022,10:30 AM,,12:00 PM,FALSE,202,
Windows IoT C en 206,09/03/2022,01:30 PM,,03:00 PM,FALSE,206,
Dév IoT TP en 206,09/03/2022,03:15 PM,,04:45 PM,FALSE,206,
Dév IoT TP en 206,09/03/2022,05:00 PM,,06:30 PM,FALSE,206,
ANA NUM TP2 en 103,11/03/2022,08:30 AM,,10:00 AM,FALSE,103,
ANA NUM TP2 en 103,11/03/2022,10:30 AM,,12:00 PM,FALSE,103,
RESEAUX TP en 202,14/03/2022,08:30 AM,,10:00 AM,FALSE,202,
RESEAUX LS en 305,14/03/2022,10:30 AM,,12:00 PM,FALSE,305,
ANA NUM TP2 en 309,15/03/2022,08:30 AM,,10:00 AM,FALSE,309,
LANGUE 2 (S2) TD en 103 107 110 112 303 304 305 306 307 308,15/03/2022,10:30 AM,,12:00 PM,FALSE,103 107 110 112 303 304 305 306 307 308,
ANGLAIS TD2 en 305,15/03/2022,01:30 PM,,03:00 PM,FALSE,305,
Action internationale en Teams,15/03/2022,03:15 PM,,04:45 PM,FALSE,Teams,
Réunion délégués en Teams,15/03/2022,05:00 PM,,06:30 PM,FALSE,Teams,
OUTILS ALGO DSM en 104 105 206 207,16/03/2022,10:30 AM,,12:00 PM,FALSE,104 105 206 207,
WEB EI en 105,17/03/2022,08:30 AM,,10:00 AM,FALSE,105,
WEB EI en 105,17/03/2022,10:30 AM,,12:00 PM,FALSE,105,
Windows IoT TP en 206,17/03/2022,01:30 PM,,03:00 PM,FALSE,206,
Windows IoT TP en 206,17/03/2022,03:15 PM,,04:45 PM,FALSE,206,
Dév IoT TP en 206,18/03/2022,08:30 AM,,10:00 AM,FALSE,206,
Dév IoT TP en 206,18/03/2022,10:30 AM,,12:00 PM,FALSE,206,
